City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,23.99,78,75,9.77,CC,1690499668
1,grytviken,-54.2811,-36.5092,-2.28,84,100,4.61,GS,1690499668
2,kloulklubed,7.0419,134.2556,25.28,76,100,11.76,PW,1690499668
3,atafu village,-8.5421,-172.5159,28.07,78,27,7.35,TK,1690499669
4,yellowknife,62.456,-114.3525,24.29,31,75,5.14,CA,1690499669
5,happy valley-goose bay,53.3168,-60.3315,21.17,43,75,4.12,CA,1690499669
6,enewetak,11.3474,162.3373,28.21,80,100,7.19,MH,1690499670
7,bethel,41.3712,-73.414,30.26,89,20,0.0,US,1690499670
8,puerto natales,-51.7236,-72.4875,-2.96,92,74,1.26,CL,1690499670
9,raahe,64.6833,24.4833,15.54,76,100,1.07,FI,1690499671
10,bure,10.7,37.0667,13.65,96,100,1.18,ET,1690499671
11,metkovic,43.0542,17.6483,19.26,61,0,1.64,HR,1690499671
12,adamstown,-25.066,-130.1015,19.43,59,33,1.43,PN,1690499672
13,port-aux-francais,-49.35,70.2167,5.09,87,90,11.69,TF,1690499672
14,vilyuchinsk,52.9306,158.4028,12.15,91,100,0.43,RU,1690499672
15,sitangkai,4.6628,119.3928,28.23,80,100,9.25,PH,1690499673
16,cesky krumlov,48.8109,14.3152,17.08,82,100,2.67,CZ,1690499673
17,thompson,55.7435,-97.8558,14.09,67,75,3.09,CA,1690499673
18,papao,-17.75,-149.55,27.82,81,20,4.25,PF,1690499673
19,leh,34.1667,77.5833,14.77,73,96,2.25,IN,1690499674
20,cabugao,17.7931,120.4578,27.16,93,100,5.4,PH,1690499674
21,mugia,43.1041,-9.2179,17.73,94,97,6.63,ES,1690499674
22,neiafu,-18.65,-173.9833,22.38,83,100,0.0,TO,1690499674
23,san juan,-31.5375,-68.5364,14.85,41,26,6.0,AR,1690499380
24,tromso,69.6496,18.957,10.01,87,40,3.6,NO,1690499675
25,longonjo,-12.9067,15.2533,17.34,58,34,0.55,AO,1690499676
26,bilibino,68.0546,166.4372,12.23,64,93,1.92,RU,1690499676
27,college,64.8569,-147.8028,26.99,52,75,4.63,US,1690499676
28,moravsky krumlov,49.0489,16.3117,16.4,90,100,1.54,CZ,1690499676
29,saipan,15.1355,145.701,26.39,100,100,6.17,MP,1690499677
